house,avg_weekly_packs,avg_weekly_spend,avg_weekly_vol,shops,brands,max_spend,min_spend,prop_promo_price,prop_promo_units,avg_weekly_visits,cust_type
733924,1,0.47,0.1001,1,1,0.47,0.47,0,0,1,Light
733975,1,2.5,0.08394,2,1,4,2,0.6,0,1,Light
733985,1.15384615384615,2.40153846153846,0.253761538461538,4,1,2.9,0.5,0.0666666666666667,0,1.07692307692308,Heavy
733994,1,6.75,0.5001,1,1,6.75,6.75,0,0,1,Heavy
733997,1.2,4.6,0.23388,2,2,4,3.5,0.833333333333333,0,1,Heavy
734019,1,4.2375,0.2749,1,2,5,2.97,0.75,0,1,Heavy
734021,1.16666666666667,3.65333333333333,0.416716666666667,1,1,4.45,1.5,0.571428571428571,0,1,Heavy
734025,2.66666666666667,10.1166666666667,0.6773,2,4,5,2.97,0.8125,0,1,Heavy
734026,1.07692307692308,1.94384615384615,0.0730461538461538,1,2,2,0.47,0.642857142857143,0,1,Light
734034,1,4.61538461538461,0.261438461538462,1,1,7,4,0.846153846153846,0,1,Heavy
734039,1.07407407407407,4.45740740740741,0.322114814814815,1,1,4.15,4.15,0,0,1.03703703703704,Heavy
734041,1.5,3.245,0.09995,2,2,2.49,2,1,0,1,Light
734077,1,3.985,0.2499,2,1,3.99,3.98,1,0,1,Heavy
734102,2.4,9.2,0.4598,1,1,4,3,1,0,1,Heavy
734113,12,48,3.5988,1,1,4,4,1,0,2,Heavy
734117,4,16,0.7996,1,1,4,4,1,0,2,Heavy
734121,1,3,0.095,1,1,3,3,1,0,1,Light
734123,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
734130,1,0.53125,0.1001,1,1,1,0.5,0,0,1,Light
734138,1.31578947368421,2.92631578947368,0.0730315789473684,2,2,3.25,2,0.72,0,1.15789473684211,Light
734150,1.61538461538462,4.78153846153846,0.317546153846154,2,1,4,2.47,1,0,1,Heavy
734153,1.25,5.195,0.274925,2,1,5,2.78,0.8,0,1,Heavy
734167,1,3,0.1001,1,1,3,3,1,0,1,Light
734188,1,2.34,0.09755,1,2,2.49,2.19,0.5,0,1,Light
734194,1,1.49,0.1001,1,1,1.49,1.49,0,0,1,Light
734206,1.33333333333333,2.52,0.333333333333333,1,1,3.49,0.47,0.25,0,1,Heavy
734242,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
734245,1,2,0.0499,1,1,2,2,0.5,0,1,Light
734249,1,2.49714285714286,0.0964857142857143,2,4,3,1.99,1,0,1,Light
734256,1,2,0.0601,1,1,2,2,0,0,1,Light
734261,1.25,5.22916666666667,0.2374,2,2,5,2,0.733333333333333,0,1.04166666666667,Heavy
734262,2,4,0.0998,1,1,2,2,1,0,1,Light
734270,1,3.68222222222222,0.236577777777778,1,3,5,2.47,0.888888888888889,0,1,Heavy
734281,1,3.506,0.2379,1,3,5,2.79,0.4,0,1,Heavy
734284,4,20,1.1996,1,1,5,5,1,0,1,Heavy
734322,1.33333333333333,5.66666666666667,0.3499,1,2,5.89,0.47,0.25,0,1,Heavy
734333,1.36363636363636,6.04909090909091,0.297181818181818,1,2,5.79,1.99,0.733333333333333,0,1,Heavy
734339,1,3,0.1,1,1,3,3,1,0,1,Light
734391,1,2.19,0.1001,1,1,2.19,2.19,0,0,1,Light
734406,1.53846153846154,5.53384615384615,0.299938461538462,2,1,5,0,0.7,0.3,1,Heavy
734410,1,7.04333333333333,0.283233333333333,1,1,7.98,4,0,0,1,Heavy
734432,1.18181818181818,5.35272727272727,0.354427272727273,3,1,5,4,0.923076923076923,0,1,Heavy
734458,1.33333333333333,2.49,0.0832666666666667,2,2,3,0.47,0.5,0,1,Light
734466,1,4.16333333333333,0.2999,1,2,4.99,3.5,1,0,1,Heavy
734467,2.77777777777778,12.2733333333333,0.503177777777778,2,2,7.58,3.46,0.76,0,1.11111111111111,Heavy
734486,1.58333333333333,2.79166666666667,0.324991666666667,1,1,2.9,0.5,0,0,1,Heavy
734487,1.66666666666667,5.6025,0.324491666666667,1,3,5,1.99,1,0,1.08333333333333,Heavy
734498,1,2.5,0.1001,1,1,2.5,2.5,0,0,1,Light
734506,1.5,5.79,0.33995,2,2,5,3.29,1,0,1,Heavy
734512,1,4.02714285714286,0.242757142857143,3,3,5,2.3,0.714285714285714,0.142857142857143,1,Heavy
734543,2,7.5,0.333233333333333,2,1,4.5,2,1,0,1,Heavy
