"","house","brand_clean","brand_count"
"282",23834,"Kenco",8
"283",23834,"Other brands",9
"284",23834,"Supermarket own",1
"285",23849,"Kenco",1
"286",23849,"Nescafe",2
"287",23851,"Nescafe",2
"288",23873,"Kenco",10
"289",23874,"Nescafe",3
"290",23876,"Nescafe",1
"291",23876,"Supermarket own",15
"292",24002,"Kenco",1
"293",24002,"Supermarket own",5
"294",24045,"Supermarket own",7
"295",24060,"Nescafe",1
"296",24105,"Nescafe",11
"297",24182,"Supermarket own",22
"298",24208,"Nescafe",4
"299",24388,"Nescafe",2
"300",24389,"Kenco",5
"301",24432,"Nescafe",3
"302",24456,"Douwe Egbert",2
"303",24456,"Other brands",2
"304",24501,"Kenco",5
"305",24501,"Nescafe",1
"306",24501,"Other brands",2
"307",24511,"Supermarket own",1
"308",24534,"Nescafe",14
"309",24615,"Douwe Egbert",1
"310",24615,"Supermarket own",2
"311",24647,"Carte Noire",1
"312",24647,"Douwe Egbert",5
"313",24647,"Kenco",5
"314",24647,"Other brands",2
"315",24714,"Douwe Egbert",4
"316",24718,"Other brands",1
"317",24778,"Nescafe",2
"318",24806,"Nescafe",3
"319",24815,"Supermarket own",18
"320",24838,"Douwe Egbert",13
"321",24841,"Kenco",1
"322",24860,"Douwe Egbert",1
"323",24860,"Kenco",2
"324",24860,"Nescafe",1
"325",24860,"Other brands",1
"326",24860,"Supermarket own",1
"327",25018,"Kenco",1
"328",25018,"Other brands",1
"329",25018,"Supermarket own",1
"330",25075,"Kenco",1
"331",25172,"Supermarket own",4
"332",25234,"Nescafe",15
"333",25237,"Supermarket own",67
"334",25239,"Carte Noire",10
"335",25239,"Other brands",2
"336",25243,"Supermarket own",6
"337",25349,"Supermarket own",2
"338",25456,"Kenco",2
"339",25509,"Douwe Egbert",1
"340",25619,"Carte Noire",1
"341",25697,"Supermarket own",52
"342",25727,"Other brands",1
"343",25870,"Douwe Egbert",2
"344",25870,"Kenco",1
"345",25870,"Nescafe",1
"346",25870,"Supermarket own",2
"347",25878,"Nescafe",3
"348",25937,"Carte Noire",1
"349",25937,"Kenco",10
"350",25937,"Nescafe",1
"351",25937,"Other brands",1
"352",25937,"Supermarket own",1
"353",25964,"Nescafe",1
"354",25979,"Kenco",1
"355",25979,"Nescafe",1
"356",25982,"Supermarket own",5
"357",26029,"Douwe Egbert",2
"358",26057,"Kenco",1
"359",26057,"Nescafe",1
"360",26085,"Supermarket own",1
"361",26143,"Supermarket own",2
"362",26232,"Douwe Egbert",1
"363",26451,"Douwe Egbert",2
"364",26537,"Kenco",1
"365",26598,"Nescafe",1
"366",26614,"Nescafe",2
"367",26636,"Douwe Egbert",3
"368",26636,"Nescafe",3
"369",26636,"Other brands",5
"370",26647,"Carte Noire",2
"371",26647,"Kenco",2
"372",26672,"Kenco",8
"373",26673,"Douwe Egbert",1
"374",26703,"Nescafe",5
"375",26721,"Douwe Egbert",8
"376",26721,"Kenco",37
"377",26721,"Nescafe",5
"378",26729,"Douwe Egbert",2
