"","house","shop_desc_clean","brand_count"
"335",26721,"sainsburys",5
"336",26721,"tesco",5
"337",26729,"morrisons",2
"338",26739,"aldi & lidl",2
"339",26739,"asda",2
"340",26739,"morrisons",1
"341",26746,"aldi & lidl",1
"342",26746,"sainsburys",9
"343",26749,"aldi & lidl",1
"344",26749,"asda",1
"345",26749,"morrisons",2
"346",26749,"tesco",1
"347",26785,"aldi & lidl",5
"348",26785,"asda",5
"349",26975,"tesco",1
"350",27005,"asda",13
"351",27045,"aldi & lidl",1
"352",27045,"morrisons",1
"353",27045,"tesco",3
"354",27180,"asda",1
"355",27202,"tesco",1
"356",27235,"aldi & lidl",1
"357",27235,"sainsburys",11
"358",27412,"sainsburys",2
"359",27429,"asda",3
"360",27429,"sainsburys",2
"361",27429,"tesco",10
"362",27474,"aldi & lidl",7
"363",27562,"tesco",2
"364",27788,"asda",1
"365",27788,"morrisons",11
"366",27884,"morrisons",1
"367",27884,"tesco",8
"368",27888,"tesco",7
"369",27902,"morrisons",5
"370",27948,"tesco",5
"371",28374,"sainsburys",3
"372",28432,"morrisons",6
"373",28585,"tesco",1
"374",28595,"morrisons",8
"375",28595,"tesco",4
"376",28720,"asda",28
"377",28749,"asda",2
"378",28749,"sainsburys",1
"379",28779,"aldi & lidl",4
"380",28853,"morrisons",8
"381",28927,"tesco",3
"382",29000,"tesco",5
"383",29017,"sainsburys",21
"384",29095,"sainsburys",5
"385",29095,"tesco",13
"386",29125,"morrisons",2
"387",29125,"sainsburys",12
"388",29280,"asda",2
"389",29280,"morrisons",17
"390",29425,"tesco",3
"391",29454,"asda",5
"392",29454,"morrisons",2
"393",29454,"tesco",3
"394",29473,"aldi & lidl",14
"395",29624,"asda",5
"396",29667,"sainsburys",27
"397",29733,"aldi & lidl",4
"398",29733,"morrisons",3
"399",29733,"tesco",8
"400",29886,"morrisons",1
"401",29886,"sainsburys",1
"402",29886,"tesco",2
"403",29907,"morrisons",12
"404",30000,"morrisons",2
"405",30000,"sainsburys",1
"406",30000,"tesco",1
"407",30021,"tesco",2
"408",30098,"tesco",2
"409",30233,"morrisons",2
"410",30233,"tesco",2
"411",30243,"morrisons",5
"412",30471,"sainsburys",4
"413",30575,"morrisons",1
"414",30705,"tesco",3
"415",30877,"morrisons",1
"416",30877,"sainsburys",2
"417",30890,"morrisons",2
"418",30896,"asda",1
"419",30896,"tesco",1
"420",30943,"sainsburys",4
"421",31029,"asda",5
"422",31029,"morrisons",16
"423",31059,"tesco",1
"424",31151,"morrisons",6
"425",31175,"aldi & lidl",3
"426",31175,"asda",13
"427",31175,"tesco",9
"428",31189,"sainsburys",6
"429",31282,"sainsburys",1
"430",31319,"aldi & lidl",17
"431",31319,"morrisons",1
"432",31384,"morrisons",3
"433",31614,"sainsburys",2
"434",31614,"tesco",4
"435",31644,"asda",4
"436",31644,"tesco",8
"437",31656,"morrisons",2
"438",31656,"sainsburys",3
"439",31656,"tesco",5
"440",31742,"sainsburys",2
"441",31920,"sainsburys",1
"442",31920,"tesco",9
"443",32097,"tesco",2
"444",32107,"sainsburys",4
"445",32107,"tesco",1
"446",32389,"morrisons",1
"447",32733,"tesco",4
"448",32952,"morrisons",1
"449",32987,"asda",8
"450",32987,"morrisons",5
"451",32987,"sainsburys",2
"452",32987,"tesco",4
"453",33061,"tesco",2
"454",33395,"asda",7
"455",33395,"tesco",5
"456",33485,"sainsburys",7
"457",33485,"tesco",2
"458",33715,"morrisons",2
"459",33903,"tesco",1
"460",33915,"tesco",13
"461",34185,"morrisons",5
"462",34263,"asda",18
"463",34336,"asda",1
"464",34336,"morrisons",16
"465",34516,"tesco",3
"466",34591,"sainsburys",2
"467",34715,"sainsburys",4
"468",34738,"sainsburys",1
"469",34799,"aldi & lidl",1
"470",35038,"sainsburys",2
"471",35299,"morrisons",2
"472",35332,"sainsburys",29
"473",35384,"tesco",2
"474",35630,"asda",1
"475",35630,"morrisons",6
"476",35634,"aldi & lidl",1
"477",35661,"aldi & lidl",1
"478",35661,"morrisons",6
"479",35686,"sainsburys",15
"480",35813,"sainsburys",1
"481",35929,"aldi & lidl",6
"482",35929,"morrisons",1
"483",35973,"morrisons",3
"484",35973,"tesco",1
"485",36311,"sainsburys",16
"486",36336,"morrisons",3
"487",36561,"sainsburys",1
"488",36759,"morrisons",1
"489",36765,"aldi & lidl",1
"490",36765,"sainsburys",1
"491",36850,"asda",2
"492",36850,"tesco",4
"493",36995,"tesco",14
"494",37086,"morrisons",3
"495",37086,"tesco",1
"496",37196,"asda",1
"497",37320,"aldi & lidl",2
"498",37320,"morrisons",2
"499",37320,"sainsburys",11
"500",37355,"aldi & lidl",1
"501",37399,"morrisons",1
"502",37399,"sainsburys",8
"503",37399,"tesco",1
"504",37400,"tesco",12
"505",37435,"tesco",1
"506",37437,"asda",2
"507",37519,"tesco",2
"508",37576,"asda",12
"509",37576,"sainsburys",2
"510",37576,"tesco",1
"511",37676,"sainsburys",1
"512",37854,"tesco",3
"513",37957,"tesco",9
"514",38024,"aldi & lidl",26
"515",38024,"asda",1
"516",38024,"morrisons",2
"517",38118,"morrisons",1
"518",38143,"tesco",2
"519",38346,"sainsburys",1
"520",38514,"morrisons",57
"521",38713,"aldi & lidl",1
"522",38713,"morrisons",27
"523",38971,"tesco",10
"524",39090,"morrisons",2
"525",39316,"asda",1
"526",39622,"tesco",1
"527",39635,"morrisons",15
"528",39689,"asda",2
"529",40282,"tesco",22
"530",40345,"asda",1
"531",40456,"asda",15
"532",40456,"tesco",4
"533",40466,"asda",4
"534",40530,"tesco",1
"535",40536,"aldi & lidl",1
"536",40770,"sainsburys",3
"537",40964,"asda",2
"538",41190,"morrisons",4
"539",41190,"sainsburys",2
"540",41190,"tesco",2
"541",41324,"morrisons",9
"542",41324,"tesco",6
"543",41568,"aldi & lidl",8
